Sub-Borough Area,income_diversity_2017,income_diversity_2019,racial_diversity_2017,racial_diversity_2019,bachelor_or_higher_2017,bachelor_or_higher_2019,car_free_commute_2017,car_free_commute_2019,mean_travel_time_2017,mean_travel_time_2019,poverty_rate_2017,poverty_rate_2019,no_highschool_2017,no_highschool_2019,crowding_rate_2017,crowding_rate_2019,pop_above_65_2017,pop_above_65_2019,under_18_2017,under_18_2019,homeownership_2017,homeownership_2019,born_in_ny_rate_2017,born_in_ny_rate_2019,foreclosure_rate_2017,foreclosure_rate_2019,median_income_2017,median_income_2019,Community District,ela_grade4_2017,ela_grade4_2019,math_grade4_2017,math_grade4_2019,park_access_2017,subway_access_2017,income_growth,gentrification_label
Coney Island,8.20000000000002,7.808333333333338,0.6296418461855209,0.65276926335718,0.388232903619082,0.399198079174897,0.71154532289546,0.707367578887921,45.6928033244485,46.7569475492388,0.248411705749335,0.255505639709179,0.193484297744565,0.185801979963807,0.236605496315846,0.255228709976838,0.236605496315846,0.255228709976838,0.279096235720609,0.249501417025297,0.27823209543481,0.249333473286449,0.373292134186822,0.412458686468246,97,74,43311.20126619992,47126.3735709869,BK 13 - Coney Island,0.4170560747663551,0.5047732696897375,0.4038901601830663,0.5359628770301624,0.8500358298408286,0.7290829732253371,0.08808742757648572,Non-Gentrifying
Flatbush,5.582500000000013,5.035971223021583,0.691265503393759,0.700403569846987,0.41424865296348,0.399244051031414,0.703340634429519,0.735252643948296,43.7304516978878,43.9274383078731,0.168204423941014,0.119642097939937,0.115196567551387,0.135905632694307,0.134572382172029,0.148228424260197,0.134572382172029,0.148228424260197,0.292091539578144,0.341756213670939,0.238938370280103,0.246408058367973,0.481344595805105,0.490131704767126,104,96,67871.16342171906,75936.30664643878,BK 14 - Flatbush/Midwood,0.4125200642054574,0.5265339966832504,0.3951486697965571,0.5085714285714286,0.2971159408313362,0.946582927030824,0.11883018970231536,Gentrifying
Sheepshead Bay/Gravesend,5.337552742616036,5.807692307692318,0.541726130205895,0.508797182924729,0.389725139319417,0.405210221624466,0.581138972982236,0.584679175876478,49.0353858456617,46.3892160500799,0.139836710222363,0.115863380985294,0.142839969431302,0.116698828528546,0.179757937203999,0.197142488856928,0.179757937203999,0.197142488856928,0.316846492554872,0.289911798127739,0.467429666229707,0.457441243844808,0.439694790387651,0.465749893148622,157,182,73477.2287054968,86965.76029248931,BK 15 - Sheepshead Bay,0.540625,0.5998370008149959,0.5715378729915838,0.6561014263074485,0.6561002178649238,0.5808278867102397,0.18357431036295246,Higher-Income
Brownsville/Ocean Hill,9.701492537313428,6.827426810477636,0.449811758718546,0.465587805701963,0.126875366158078,0.161816275622718,0.795111720577559,0.786941580756014,45.8133688257912,47.1734861582464,0.398762045692424,0.342641538942759,0.193904582388752,0.238747695311088,0.121996933037996,0.125295047869813,0.121996933037996,0.125295047869813,0.251754139769857,0.305149751378021,0.156631188065373,0.177041976641098,0.622306319555918,0.626919271786802,319,253,24287.75321018919,36284.448418918335,BK 16 - Brownsville,0.1933534743202417,0.2876506024096386,0.1313432835820895,0.2549019607843137,0.887499292626337,0.8941486050591364,0.4939400983247927,Gentrifying
East Flatbush,5.186170212765974,4.543795620437966,0.237196139016122,0.257493095212261,0.25102057478772,0.256646259644415,0.721443006666063,0.726496424256278,48.3622899888396,47.7561799954283,0.136625057656827,0.0987897970582759,0.118641819072502,0.141143911439114,0.159657926859737,0.170040217926755,0.159657926859737,0.170040217926755,0.287223194874656,0.322551974650282,0.346711045270023,0.324020403431486,0.421031216315575,0.43860332772096,413,317,59177.26538805304,70491.03482118463,BK 17 - East Flatbush,0.3930846223839854,0.4332706766917293,0.2797140303842717,0.3632119514472455,0.3834332176777766,0.580608418322644,0.19118439081194277,Gentrifying
Flatlands/Canarsie,4.466019417475725,4.31388888888889,0.553357159013382,0.552152874769867,0.313113530028292,0.351853439652462,0.560499806073566,0.521350589413417,48.953006907974,52.1779451622384,0.0889642893762992,0.106357024371571,0.10363819453483,0.121030895424276,0.153155534532571,0.162213362452068,0.153155534532571,0.162213362452068,0.347498880526947,0.31505644947458,0.56853341807624,0.583222853315098,0.532399356325677,0.522329160212296,727,508,91911.8900119172,93151.88542730188,BK 18 - Flatlands/Canarsie,0.4558620689655172,0.4973302822273074,0.4227865477007549,0.4939668174962293,0.7251804502079765,0.1266362857841937,0.013491131726525272,Higher-Income
Astoria,4.758364312267647,4.843750000000011,0.68086693278448,0.655251158071568,0.474067341194856,0.49838165415605,0.815866668263072,0.788874799411983,42.0444558853462,39.5491679104059,0.130441416095546,0.116208376982373,0.117117548098006,0.115074719371944,0.125206151374444,0.1369310346904,0.125206151374444,0.1369310346904,0.199645009247658,0.173692555838049,0.182178867609331,0.188837857787255,0.461602594920917,0.439558255905678,75,74,79602.52955459557,91657.44539192706,QN 01 - Astoria,0.4607762180016515,0.6038732394366197,0.4465863453815261,0.5920138888888888,0.6333293880932654,0.7293525861048645,0.15143885382516137,Higher-Income
Sunnyside/Woodside,4.447761194029845,4.8484848484848335,0.68495834147369,0.696446187505457,0.425231309006197,0.434454661631739,0.746600393885398,0.789022011702424,36.5232245012795,37.2947199777097,0.0926973254320543,0.0924446558220069,0.136286040348213,0.147473408088553,0.137824871844689,0.133274044892619,0.137824871844689,0.133274044892619,0.212796768415838,0.24253772041447,0.294996379711139,0.267133248500273,0.340728729207455,0.339634567610872,69,44,80774.1072620289,93663.53724421564,QN 02 - Woodside/Sunnyside,0.5367573011077543,0.6145077720207254,0.5278048780487805,0.6295918367346939,0.7885059943013817,0.8928014622869738,0.15957378446008433,Higher-Income
Jackson Heights,3.4482758620689777,5.2500000000000036,0.556929453258025,0.529608711049883,0.208303053860844,0.20946503706672,0.752023651221937,0.810773098528863,44.3594675893053,42.7542612440307,0.135181305207019,0.150473447053175,0.249953524530598,0.268731717090763,0.131258004253269,0.148075880758808,0.131258004253269,0.148075880758808,0.372701398841364,0.320693330341617,0.380876445772189,0.344645762046334,0.326514786572828,0.33378405363001,193,136,67873.56173841801,77790.75508692714,QN 03 - Jackson Heights,0.3458646616541353,0.423826714801444,0.3357888275015346,0.4164325842696629,0.6145951893163366,0.5953410729190378,0.14611275870168114,Gentrifying
Elmhurst/Corona,3.9583333333333464,3.5999999999999943,0.575600327549528,0.584695187488512,0.212844653665097,0.248019550883017,0.774308517957892,0.798972863143986,42.8315673592954,44.129239744213,0.155564732603758,0.102072207075475,0.277404169468729,0.246876008668788,0.115918551479484,0.12067993387752,0.115918551479484,0.12067993387752,0.345534026465028,0.395475483232167,0.224858223062382,0.235847432089199,0.30918448951135,0.308501095634122,65,32,62346.64090570535,77723.6152557484,QN 04 - Elmhurst/Corona,0.3184445612191277,0.445475638051044,0.3438614365766683,0.4684115523465704,0.6827674007638664,0.7222338343435879,0.24663677347588903,Gentrifying
